"site.id","site.name","latitude","longitude","dataset.id","dataset.type","age.oldest","age.youngest","...9","id","pub.type","year","citation","contact.id","order","contact.name"
16182,"Rots",49.208333,-0.480556,25021,"pollen",NA,NA,NA,10982,"Book Chapter",2008,"Lespez, L., J.M. Cador, V. Carpentier, M. Clet-Pellerin, M.A. Germaine, E. Garnier, and C. Marcigny. 2008. Trajectoire des paysages des vallées normandes et gestion de l'eau du Néolithique aux enjeux de la gestion contemporaine. Pages 61-75 in s.E.S.e.A. Presses Universitaires de Franche-Comté; Annales littéraires, editor. Paysages et environnement: de la reconstitution du passé aux modèles prospectifs., Galop, D.E. edition. Annales littéraires. série Environnement, Société et Archéologie, Besançon. Besançon, France.",NA,NA,NA
16182,"Rots",49.208333,-0.480556,25021,"pollen",NA,NA,NA,10981,"Journal Article",2005,"Lespez, L., M. Clet-Pellerin, N. Limondin-Lozouet, J.F. Pastre, and M. Fontugne. 2005. Discontinuités longitudinales des dynamiques sédimentaires holocènes dans les petites vallées de l'Ouest du Bassin Parisien, l'exemple de la Mue (Basse-Normandie). Quaternaire 16(4):273-298.",NA,NA,NA
16182,"Rots",49.208333,-0.480556,25021,"pollen",NA,NA,NA,10980,"Journal Article",2008,"Lespez, L., M. Clet-Pellerin, N. Limondin-Lozouet, J.F. Pastre, M. Fontugne, and C. Marcigny. 2008. Fluvial system evolution and environmental changes during the Holocene in the Mue valley (Western France). Geomorphology 98:55-70.",NA,NA,NA
16182,"Rots",49.208333,-0.480556,25020,"pollen",NA,NA,NA,10982,"Book Chapter",2008,"Lespez, L., J.M. Cador, V. Carpentier, M. Clet-Pellerin, M.A. Germaine, E. Garnier, and C. Marcigny. 2008. Trajectoire des paysages des vallées normandes et gestion de l'eau du Néolithique aux enjeux de la gestion contemporaine. Pages 61-75 in s.E.S.e.A. Presses Universitaires de Franche-Comté; Annales littéraires, editor. Paysages et environnement: de la reconstitution du passé aux modèles prospectifs., Galop, D.E. edition. Annales littéraires. série Environnement, Société et Archéologie, Besançon. Besançon, France.",NA,NA,NA
16182,"Rots",49.208333,-0.480556,25020,"pollen",NA,NA,NA,10981,"Journal Article",2005,"Lespez, L., M. Clet-Pellerin, N. Limondin-Lozouet, J.F. Pastre, and M. Fontugne. 2005. Discontinuités longitudinales des dynamiques sédimentaires holocènes dans les petites vallées de l'Ouest du Bassin Parisien, l'exemple de la Mue (Basse-Normandie). Quaternaire 16(4):273-298.",NA,NA,NA
16182,"Rots",49.208333,-0.480556,25020,"pollen",NA,NA,NA,10980,"Journal Article",2008,"Lespez, L., M. Clet-Pellerin, N. Limondin-Lozouet, J.F. Pastre, M. Fontugne, and C. Marcigny. 2008. Fluvial system evolution and environmental changes during the Holocene in the Mue valley (Western France). Geomorphology 98:55-70.",NA,NA,NA
16185,"Bellengreville",49.116667,-0.215,25027,"pollen",9283,56,NA,NA,NA,NA,NA,NA,NA,NA
16185,"Bellengreville",49.116667,-0.215,25027,"pollen",9283,56,NA,NA,NA,NA,NA,NA,NA,NA
16186,"Marais de la Dives",49.25,-0.15,25029,"pollen",12950,4700,NA,10984,"Journal Article",2010,"Lespez, L., M. Clet-Pellerin, R. Davidson, G. Hermier, V. Carpentier, and J.M. Cador. 2010. Middle to Laye Holocene landscape changes and geoarchaeological implications in the marshes of the Dives estuary (NW France). Quaternary International 216:23-40.",NA,NA,NA
16187,"Bernasso",43.726111,3.256944,25030,"pollen",NA,NA,NA,10985,"Journal Article",1996,"Leroy, S.A.G., and P. Roiron. 1996. Latest Pliocene pollen and leaf floras from Bernasso paleolake (Escandorgue Massif, Hérault, France). Review of Palaeobotany and Palynology 94:295-328.",NA,NA,NA
